DATE,SERIES,Day,Month,Quarter,Year,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,No of Trades
19-Dec-25,EQ,Friday,December,Q4,2025,2249.00,2250.00,2210.00,2229.30,2243.90,2239.00,2230.79,2695.00,2026.55,880005.00,31918.00
18-Dec-25,EQ,Thursday,December,Q4,2025,2236.40,2245.00,2211.10,2232.50,2228.20,2229.30,2230.17,2695.00,2026.55,508238.00,25318.00
17-Dec-25,EQ,Wednesday,December,Q4,2025,2247.60,2255.00,2221.00,2247.90,2232.00,2232.50,2234.72,2695.00,2026.55,651509.00,34504.00
16-Dec-25,EQ,Tuesday,December,Q4,2025,2270.00,2276.80,2232.10,2278.90,2242.00,2247.90,2248.44,2695.00,2026.55,654714.00,34760.00
15-Dec-25,EQ,Monday,December,Q4,2025,2282.40,2300.00,2273.00,2282.40,2280.00,2278.90,2284.25,2695.00,2026.55,573027.00,29762.00
12-Dec-25,EQ,Friday,December,Q4,2025,2277.70,2296.80,2270.20,2277.70,2284.00,2282.40,2282.72,2695.00,2026.55,929199.00,31417.00
11-Dec-25,EQ,Thursday,December,Q4,2025,2225.00,2293.90,2192.40,2211.60,2270.20,2277.70,2255.58,2695.00,2026.55,1519832.00,52376.00
10-Dec-25,EQ,Wednesday,December,Q4,2025,2255.80,2267.50,2204.10,2245.20,2213.90,2211.60,2239.02,2695.00,2026.55,935149.00,37803.00
9-Dec-25,EQ,Tuesday,December,Q4,2025,2216.20,2257.00,2178.40,2216.20,2250.00,2245.20,2226.67,2695.00,2026.55,1227728.00,51676.00
8-Dec-25,EQ,Monday,December,Q4,2025,2265.40,2270.40,2205.00,2265.40,2212.00,2216.20,2229.82,2695.00,2026.55,939764.00,43380.00
5-Dec-25,EQ,Friday,December,Q4,2025,2217.90,2268.60,2202.90,2217.90,2263.00,2265.40,2240.36,2695.00,2026.55,2400781.00,67680.00
4-Dec-25,EQ,Thursday,December,Q4,2025,2188.00,2231.70,2183.40,2189.80,2216.80,2217.90,2212.67,2695.00,2026.55,2522821.00,67347.00
3-Dec-25,EQ,Wednesday,December,Q4,2025,2240.00,2245.00,2172.20,2239.60,2191.60,2189.80,2204.17,2695.00,2026.55,1643852.00,63240.00
2-Dec-25,EQ,Tuesday,December,Q4,2025,2255.00,2267.20,2232.20,2262.00,2239.00,2239.60,2244.60,2695.00,2026.55,1035354.00,46209.00
1-Dec-25,EQ,Monday,December,Q4,2025,2300.00,2304.00,2257.00,2280.20,2259.90,2262.00,2277.13,2695.00,2026.55,1313265.00,42480.00
28-Nov-25,EQ,Friday,November,Q4,2025,2267.10,2331.00,2247.80,2255.00,2282.00,2280.20,2295.96,2695.00,2026.55,3037620.00,86014.00
27-Nov-25,EQ,Thursday,November,Q4,2025,2310.00,2320.50,2243.00,2315.00,2249.00,2255.00,2283.07,2695.00,2026.55,1474038.00,61990.00
26-Nov-25,EQ,Wednesday,November,Q4,2025,2321.20,2357.00,2310.00,2332.90,2313.90,2315.00,2334.95,2695.00,2026.55,1026965.00,47392.00
25-Nov-25,EQ,Tuesday,November,Q4,2025,2400.90,2407.70,2325.30,2399.20,2329.40,2332.90,2364.69,2695.00,2026.55,2223715.00,69285.00
24-Nov-25,EQ,Monday,November,Q4,2025,2426.20,2432.30,2393.10,2422.30,2398.90,2399.20,2409.75,2695.00,2026.55,691419.00,32464.00
21-Nov-25,EQ,Friday,November,Q4,2025,2450.00,2456.20,2418.00,2446.10,2419.00,2422.30,2433.91,2894.80,2025.00,547541.00,23006.00
20-Nov-25,EQ,Thursday,November,Q4,2025,2450.10,2478.90,2440.40,2433.10,2448.00,2446.10,2456.68,2894.80,2025.00,1526556.00,49383.00
19-Nov-25,EQ,Wednesday,November,Q4,2025,2446.50,2449.90,2413.90,2436.80,2431.00,2433.10,2432.60,2894.80,2025.00,774785.00,29152.00
18-Nov-25,EQ,Tuesday,November,Q4,2025,2462.00,2478.60,2434.30,2462.00,2439.00,2436.80,2448.31,2894.80,2025.00,1245215.00,33053.00
17-Nov-25,EQ,Monday,November,Q4,2025,2460.00,2474.90,2421.00,2516.80,2466.80,2462.00,2448.66,2894.80,2025.00,2672697.00,64529.00
14-Nov-25,EQ,Friday,November,Q4,2025,2500.00,2553.70,2481.00,2488.20,2524.10,2516.80,2524.48,2946.80,2025.00,4496233.00,98231.00
13-Nov-25,EQ,Thursday,November,Q4,2025,2502.00,2525.00,2468.10,2484.50,2488.00,2488.20,2495.26,2946.80,2025.00,2706326.00,69562.00
